111111111,Trump,SOUTH,Fall,3,20,30,50.0000000
111111111,Trump,NORTHEAST,Summer,1,5,30,66.66666666666666666666
111111111,Trump,WEST,Spring,1,6,30,55.55555555555555555555
222222222,Biden,MIDWEST,Summer,1,5,21,95.23809523809523809523
333333333,Joe,SOUTH,Fall,1,5,21,95.23809523809523809523
333333333,Joe,WEST,Summer,1,3,8,416.66666666666666666666
444444444,Clinton,WEST,Summer,1,6,30,55.55555555555555555555
555555555,Pence,SOUTH,Fall,3,10,30,100.0000000
666666666,George,SOUTH,Fall,3,5,30,200.0000000
666666666,George,SOUTH,Fall,3,6,30,166.66666666666666
777777777,Adam,SOUTH,Fall,3,20,16,93.7500000
888888888,Obama,WEST,Fall,2,20,16,62.5000000
888888888,Obama,WEST,Spring,2,25,16,50.0000000
999999999,Bush,MIDWEST,Summer,1,3,20,166.66666666666669
999999999,Bush,MIDWEST,Spring,1,5,20,100.0000000
123456781,Reagan,MIDWEST,Spring,2,10,15,133.33333333333334
123456781,Reagan,MIDWEST,Fall,3,15,30,66.66666666666667
123456782,Nixon,NORTHEAST,Summer,2,10,18,111.1111111
123456782,Nixon,NORTHEAST,Fall,2,10,25,80.0000000
123456782,Nixon,NORTHEAST,Fall,3,25,34,35.294117647058826
123456783,Ford,NORTHEAST,Fall,3,20,27,55.55555555555556
123456783,Ford,NORTHEAST,Fall,3,20,13,115.38461538461539
123456784,Kennedy,WEST,Spring,1,23,29,14.992503748125937
123456784,Kennedy,WEST,Summer,2,23,29,29.985007496251875
123456784,Kennedy,WEST,Fall,3,23,29,44.97751124437781
